sku,ean,description,ncm,quantity,unitCost,unit
PRD-0001,7890000000001,Notebook 15.6" Intel Core i5,84713019,12,3500.00,UN
PRD-0002,7890000000002,Mouse Sem Fio USB,84716070,45,89.90,UN
PRD-0003,7890000000003,Teclado Mecânico RGB,84716060,28,299.00,UN
PRD-0004,7890000000004,Monitor LED 24",85285100,18,1200.00,UN
PRD-0005,7890000000005,Headset Gamer 7.1,85183000,33,399.00,UN
PRD-0006,7890000000006,Webcam Full HD 1080p,85258011,22,249.00,UN
PRD-0007,7890000000007,SSD 500GB SATA,84717090,40,350.00,UN
PRD-0008,7890000000008,Memória RAM 8GB DDR4,84733020,55,199.00,UN
PRD-0009,7890000000009,Fonte ATX 500W,85044010,15,280.00,UN
PRD-0010,7890000000010,Placa de Vídeo GTX 1650,84717090,8,1800.00,UN
PRD-0011,7890000000011,Roteador Wi-Fi AC1200,85176292,20,299.00,UN
PRD-0012,7890000000012,Switch 8 Portas Gigabit,85176291,12,399.00,UN
PRD-0013,7890000000013,Impressora Laser Monocromática,84433100,6,1500.00,UN
PRD-0014,7890000000014,HD Externo 1TB USB 3.0,84717021,25,350.00,UN
PRD-0015,7890000000015,Pen Drive 64GB USB 3.0,84717021,80,59.90,UN
PRD-0016,7890000000016,Cabo HDMI 2.0 2m,85444299,60,39.90,UN
PRD-0017,7890000000017,Adaptador USB-C para HDMI,85444299,35,79.90,UN
PRD-0018,7890000000018,Hub USB 4 Portas,85444299,45,49.90,UN
PRD-0019,7890000000019,No-break 1400VA,85044090,10,890.00,UN
PRD-0020,7890000000020,Estabilizador 1000VA,85044090,14,350.00,UN
PRD-0021,7890000000021,Papel A4 500 Folhas,48021000,200,28.90,RL
PRD-0022,7890000000022,Cartucho Tinta Preto,84439910,50,45.00,UN
PRD-0023,7890000000023,Cartucho Tinta Colorido,84439910,35,65.00,UN
PRD-0024,7890000000024,Toner Laser Preto,84439960,30,89.00,UN
PRD-0025,7890000000025,Fita Adesiva 48mm,39199090,150,8.50,RL
PRD-0026,7890000000026,Caderno Executivo 200 Fls,48201000,75,35.90,UN
PRD-0027,7890000000027,Caneta Esferográfica Azul cx12,96081000,120,15.90,CX
PRD-0028,7890000000028,Post-it 76x76mm,48201000,90,12.90,UN
PRD-0029,7890000000029,Calculadora Científica,84701010,20,89.90,UN
PRD-0030,7890000000030,Grampeador 26/6,82055100,40,29.90,UN
